[-1.1300030882748133, -1.095060728669755, -1.0642214653807842, -1.0322085452779244, -0.9987634528314525, -0.9638706569351083, -0.9274441290256291, -0.8894453521067102, -0.8495833282161571, -0.808361520712332, -0.7642428489032326, -0.7163384166457721, -0.667805448294533, -0.6201867165109022, -0.5712341589956851, -0.5219872482691374, -0.47209279671254606, -0.4225687951978427, -0.3728287264947643, -0.32281075890573063]|[-0.7549133258002017, -0.7899794241289946, -0.8195854234817526, -0.8470695593357885, -0.8731253664480516, -0.8977823891417697, -0.9210249169492881, -0.9426610257442346, -0.9625067811918292, -0.9800596910913213, -0.9951407796192969, -1.0090854613282603, -1.0228743777615554, -1.0347098671558286, -1.0446765823376924, -1.0527304927361498, -1.059438272063192, -1.0644586151741124, -1.0670841674802902, -1.0681233938354144]
[-1.1301682341309298, -1.0952249265599099, -1.0643729212617627, -1.0323442266064657, -0.9988815725153009, -0.9639699364713682, -0.9275240994594058, -0.8895062527219725, -0.8496266768538819, -0.8083884395129093, -0.7642582854035306, -0.716349841039328, -0.6678141700954099, -0.6201909686724487, -0.571236457476662, -0.5219882324010848, -0.4720934949623656, -0.4225689167941563, -0.372828678509931, -0.3228107446562735]|[-0.7550786691851021, -0.7901453790070185, -0.8197610989741992, -0.8472531097156778, -0.8733131025084742, -0.8979700918840594, -0.921208097287746, -0.9428353382826413, -0.9626681305069261, -0.9802049380324035, -0.9952671024492724, -1.009191275115657, -1.0229599050970064, -1.0347763515808794, -1.0447255747571902, -1.0527642939096187, -1.0594596107601308, -1.0644705016112554, -1.0670896038883275, -1.0681251350884458]
[-1.1439849647026379, -1.108962346693024, -1.0770442964339417, -1.0436958427120666, -1.0087639146177683, -0.9722760401547583, -0.9342147301732406, -0.8946014298733587, -0.8532533887931262, -0.8106405687738959, -0.7655497617420994, -0.7173056492649599, -0.6685438691362965, -0.6205467206835317, -0.5714287571390825, -0.5220705686236444, -0.4721519131985509, -0.4225790900043312, -0.3728246639162377, -0.3228095524924838]|[-0.7689119257663234, -0.8040297954291968, -0.8344587789782114, -0.8626096327608329, -0.8890198155102457, -0.9136740173640877, -0.9365336612590377, -0.9574189883667148, -0.9761672280141124, -0.9923568496727481, -1.0058357509631997, -1.0180440591068052, -1.030115447344515, -1.0403386915011308, -1.0488244669496634, -1.055592228668678, -1.0612448873228462, -1.0654649661610764, -1.0675444344659404, -1.068270814941113]
[-1.1828985445376594, -1.147659618246041, -1.1127807405571142, -1.075804938040839, -1.0368675277168171, -0.9960965877181199, -0.9536372425114422, -0.9096437648776223, -0.8642073677359823, -0.8176538737228329, -0.7697395030319684, -0.7205821615563224, -0.6712402881096261, -0.6220049763292461, -0.5723406312629019, -0.5225513785665238, -0.4726136110350776, -0.42270483166373385, -0.37272714826066367, -0.3227249728661636]|[-0.8078720496218136, -0.8431411443897672, -0.8759099090305249, -0.9060469775219969, -0.9336868975321657, -0.9587103085166463, -0.9810228832851182, -1.000473850569084, -1.0169393743324362, -1.030198843701519, -1.0401220183414948, -1.0483914183174847, -1.0565569510323911, -1.0631391630076632, -1.068261181916257, -1.0721062137374702, -1.0753544938503776, -1.0777566244048393, -1.0785924022900304, -1.0786062634817641]
[-1.1568371589846094, -1.1211813457115003, -1.0832281914646278, -1.0432114012866633, -1.001308924914453, -0.95772498878101, -0.9126613352283514, -0.8662786341137998, -0.818886009703917, -0.7704103023401041, -0.7210474808818321, -0.6715668670822279, -0.6221468133546239, -0.5724051578645535, -0.5225719500147531, -0.472620951870287, -0.422704100819367, -0.3727288952152078, -0.32272652970215643, -0.27272547755575716]|[-0.8524168887515945, -0.8856538716803175, -0.9160891918826634, -0.9437696694548476, -0.96856500790737, -0.9903862781027588, -1.0091108790357262, -1.0246488994521346, -1.0368471333136628, -1.0456114275543096, -1.0527012488516594, -1.0597594352137607, -1.065356847585264, -1.0696365747816796, -1.072812764410839, -1.0755788316925634, -1.0776851819789246, -1.0783944822998377, -1.0784160214697094, -1.0783161674856954]
[-1.0721498589484104, -1.033152899331589, -0.9923537988922009, -0.9499990750721924, -0.9063064033412005, -0.8613572977347802, -0.8155369668691845, -0.768288433106685, -0.7192949492943365, -0.6700542455281719, -0.6212985365130319, -0.5718650375096934, -0.5222901976932386, -0.4723649240952981, -0.42264232211895225, -0.37276759374074064, -0.3227505006267521, -0.2727393965883637, -0.22273413325706737, -0.17272763098915872]|[-0.9011023682441119, -0.9277829730019225, -0.9516340090806965, -0.9726892940895284, -0.9909215010814945, -1.006331039980811, -1.0187765574757688, -1.0282473540124173, -1.036469139558494, -1.0449264330744275, -1.0520936642653747, -1.0581238395138959, -1.0631356483289036, -1.0677545559879373, -1.0716461120648446, -1.0740101599835283, -1.075486826007311, -1.076585189964993, -1.077174292920593, -1.0773837871880625]
[-0.9894020053595884, -0.9472580994413492, -0.9038036575651186, -0.859178258646729, -0.8138648258678716, -0.7670952137642868, -0.7181874659706375, -0.6689818612881437, -0.6206239413725185, -0.5713822541954522, -0.5220057695567302, -0.47207052263651833, -0.4225602810527467, -0.3728282576292356, -0.32279646335746426, -0.27277411213133973, -0.22276060881118345, -0.17273591021056212, -0.12270345491731867, -0.07274828543817516]|[-0.9460532039962053, -0.9664108131553801, -0.9837580271603096, -0.9982203706984578, -1.0097541136710775, -1.0184827803588257, -1.0262115268119385, -1.034410466483927, -1.0415460711016362, -1.0478332506876344, -1.0533666282222989, -1.0587575704794836, -1.0636263296590496, -1.0671372872716263, -1.0698702791067027, -1.0722679485151536, -1.0741237219770239, -1.07548340160365, -1.0771450597918213, -1.0794120766113109]
[-0.8575123377767159, -0.8124886532098623, -0.7660069460787072, -0.7170614391899962, -0.6677699425784723, -0.6197808247062069, -0.5707177712081942, -0.5215755884079236, -0.4715809525053846, -0.422409679696748, -0.37295222217646046, -0.32290255918111216, -0.2728668571208284, -0.2228458818441151, -0.17277047672494822, -0.12253472104294269, -0.07264886678888628, -0.02273098107522448, 0.027234204635186967, 0.07723075015983348]|[-0.9920195947227815, -1.002328639107215, -1.009577066553259, -1.0157821628559265, -1.0225262031894848, -1.0283635694028324, -1.0336697098149241, -1.038591548851597, -1.0437961793456356, -1.0489045548091143, -1.0530928108128776, -1.0569055974995718, -1.0607341374736743, -1.0642983776087485, -1.0675491161871726, -1.0711724556676265, -1.075331575624169, -1.0780953489615062, -1.079797664619733, -1.0801366356668232]
[-0.7176609541012491, -0.6682059020471767, -0.6199476840679017, -0.5707506107901235, -0.5215379312229947, -0.47147508481752554, -0.42235839231626765, -0.3730098403523769, -0.3229656036739742, -0.27293510482826094, -0.22292265598088906, -0.17280869414651628, -0.12230083320180057, -0.07246817701373212, -0.022651555681559712, 0.02722586932770058, 0.07719605609148512, 0.12719773756747363, 0.17718455188527507, 0.22718585977114372]|[-1.021334925289296, -1.0268012895219616, -1.0309724892675387, -1.0343696897539425, -1.0372981683821303, -1.040560835141071, -1.0438910457137898, -1.0465649999719875, -1.049201695979764, -1.052246820089899, -1.0554522945452764, -1.0587768133966358, -1.062893623158348, -1.0679154136550286, -1.0718448428586864, -1.0749192216805628, -1.0767081498579145, -1.0778647269852846, -1.0777081160617363, -1.0769257499182154]
[-0.5709653600074216, -0.5216390403834859, -0.4715413755694845, -0.42236231437155813, -0.373021555776715, -0.32299007825597037, -0.27297135450145266, -0.22297296533825484, -0.17283828565085924, -0.12209049775192149, -0.07227971891215587, -0.022554310059610914, 0.02721354722611749, 0.07713079284841873, 0.1271091728998763, 0.17705330060606247, 0.22710546513871374, 0.2771238596995976, 0.3271323304353128, 0.377130579289922]|[-1.0389470971141141, -1.040770881855293, -1.0425866978429408, -1.044274439439237, -1.045237709186018, -1.0462109546655725, -1.0477387934761357, -1.0496555409401895, -1.0519844756232135, -1.0554484650354778, -1.0601804114696503, -1.0641919459018843, -1.0677074098121253, -1.0702588023659474, -1.0724375190293995, -1.0734783506406134, -1.073954978649689, -1.0740295111590468, -1.0736264806262243, -1.0728217134676268]
